name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,All,20-29,6951,26/06/2014,91,0,0
Beijing,All,30-39,6909,26/06/2014,91,0,0
Beijing,All,40-49,5332,26/06/2014,91,0,0
Beijing,All,50-59,7607,26/06/2014,91,0,0
Beijing,All,60+,6943,26/06/2014,91,0,0
Beijing,All,All,6653,26/06/2014,91,0,0
Beijing,M,20-29,8787,27/06/2014,93,0,0
Beijing,M,30-39,8475,27/06/2014,93,0,0
Beijing,M,40-49,5666,27/06/2014,93,0,0
Beijing,M,50-59,8779,27/06/2014,93,0,0
Beijing,M,All,8046,27/06/2014,93,0,0
Beijing,F,20-29,7621,27/06/2014,93,0,0
Beijing,F,30-39,5227,27/06/2014,93,0,0
Beijing,F,40-49,5325,27/06/2014,93,0,0
Beijing,F,50-59,6016,27/06/2014,93,0,0
Beijing,F,60+,5765,27/06/2014,93,0,0
Beijing,F,All,5744,27/06/2014,93,0,0
Beijing,All,20-29,8375,27/06/2014,93,0,0
Beijing,All,30-39,7415,27/06/2014,93,0,0
Beijing,All,40-49,5521,27/06/2014,93,0,0
Beijing,All,50-59,8454,27/06/2014,93,0,0
Beijing,All,60+,5765,27/06/2014,93,0,0
Beijing,All,All,7254,27/06/2014,93,0,0
Beijing,M,20-29,7126,28/06/2014,100,0,0
Beijing,M,30-39,7727,28/06/2014,100,0,0
Beijing,M,40-49,4773,28/06/2014,100,0,0
Beijing,M,50-59,6929,28/06/2014,100,0,0
Beijing,M,All,6998,28/06/2014,100,0,0
Beijing,F,20-29,5510,28/06/2014,100,0,0
Beijing,F,30-39,5177,28/06/2014,100,0,0
Beijing,F,40-49,5268,28/06/2014,100,0,0
Beijing,F,50-59,9156,28/06/2014,100,0,0
Beijing,F,60+,6048,28/06/2014,100,0,0
Beijing,F,All,5461,28/06/2014,100,0,0
Beijing,All,20-29,6480,28/06/2014,100,0,0
Beijing,All,30-39,7082,28/06/2014,100,0,0
Beijing,All,40-49,4983,28/06/2014,100,0,0
Beijing,All,50-59,7176,28/06/2014,100,0,0
Beijing,All,60+,6048,28/06/2014,100,0,0
Beijing,All,All,6513,28/06/2014,100,0,0
Beijing,M,20-29,8392,29/06/2014,95,0,0
Beijing,M,30-39,7168,29/06/2014,95,0,0
Beijing,M,40-49,7158,29/06/2014,95,0,0
Beijing,M,50-59,7325,29/06/2014,95,0,0
Beijing,M,60+,9054,29/06/2014,95,0,0
Beijing,M,All,7415,29/06/2014,95,0,0
Beijing,F,20-29,5896,29/06/2014,95,0,0
Beijing,F,30-39,4193,29/06/2014,95,0,0
Beijing,F,40-49,7192,29/06/2014,95,0,0
Beijing,F,50-59,4746,29/06/2014,95,0,0
Beijing,F,60+,2917,29/06/2014,95,0,0
Beijing,F,All,5342,29/06/2014,95,0,0
Beijing,All,20-29,7331,29/06/2014,95,0,0
Beijing,All,30-39,6332,29/06/2014,95,0,0
